sk	M	a	lng	mx
1	10	1	108	0
5	1000	1.01427768486659	58	-7.56346422836115
6	1	1.12473865039287	137	-1.99443836779986
8	1	1.07965083882226	99	-4.59108515501376
9	1000	1.12365270741551	132	-2.4000555902651
12	10	1.05789328346094	77	-5.90051647003266
14	10	1.04839631695423	68	-6.39838429261011
16	10	1.1352879978284	128	-2.6226024922061
17	10	1.02218939221457	49	-7.47576326137202
19	1000	1.13476251370331	122	-3.01738219604859
21	10	1.05817530657222	64	-6.36566874613901
24	10	1.20185609343319	165	-0.245686965707527
27	100	1.04864217775883	50	-6.97363743564939
29	1000	1.13710402412028	106	-4.13732965646423
32	100	1.07160275025332	54	-6.58040011569666
33	1000	1.10338771560864	73	-5.72555762665221
34	1000	1.02565161305241	30	-7.72145004879851
36	10	1.01909582828217	24	-7.85686178689609
38	10	1.04608742463664	34	-7.44842030579624
39	1	1.04911406331105	34	-7.4322399814058
41	100	1.01932673618409	18	-7.90916929414195
43	100	1.1383388095407	84	-5.63436575647438
44	1	1.14670912206494	88	-5.49890217106131
45	100	1.09974591797264	51	-6.72828078642771
47	100	1.15587663104974	92	-5.48353365525892
48	1	1.18903115045358	114	-4.25297856513789
49	10	1.21380738109361	135	-2.91716957638369
50	1000	1.09570526393183	43	-7.0717985378749
52	10	1.07948468195102	32	-7.4008071034919
57	100	1.14283674605479	84	-6.1991617872004
60	1000	1.11800134730962	71	-6.81442018846177
62	1	1.04532836884943	15	-7.87658760256708
64	1	1.20628776516509	157	-1.72456717260438
65	10	1.02935966377299	9	-7.96763871683581
66	1000	1.01725791713741	5	-8.00887011712806
77	1	1.19117860703414	176	-0.165752706930485
81	100	1.01816885802514	23	-7.94592270125773
82	1	1.08523001494216	87	-5.80214763388705
89	10	1.10164710473496	105	-5.17901109066214
94	1	1.1165116597537	115	-4.78993977880051
95	1000	1.11792657770111	115	-4.80177073196905
97	100	1.06358213290343	59	-6.81843825140784
99	10	1.06318000511886	57	-6.89174495380031
104	1000	1.1417112769827	124	-4.30154407736572
105	1000	1.00525352314864	7	-8.01683091790225
108	1	1.08973468156856	74	-6.54375507633229
111	1000	1.08101530977095	61	-6.89655393308465
113	1	1.0811487167744	60	-6.95309945473197
119	1	1.14705054136369	119	-4.2828637758887
120	1	1.07491715822416	53	-7.27204311435236
121	10	1.13879317932303	114	-4.66241316293376
122	10	1.10507357503906	89	-6.43284717415437
123	100	1.02485544888833	13	-7.94630197594974
125	1000	1.04502379790147	25	-7.7719334669861
128	1000	1.01000925548149	4	-8.01740618961396
129	100	1.0508765699836	35	-7.70435110644778
130	10	1.12076645632499	108	-4.82071984722337
131	10	1.1029630626059	96	-5.69670303554306
134	100	1.07310898042984	77	-6.89431285267225
136	1	1.0737629827276	80	-6.60156024966118
137	1	1.0412442450977	48	-7.72860728189908
138	100	1.09481666368539	97	-5.33094293559492
139	100	1.0537428464766	68	-7.20642134186989
142	10	1.13618323805074	135	-2.70952455683133
143	1	1.09541787976951	101	-4.96166704548567
144	10	1.16043690236294	150	-1.15225126360119
147	10	1.11661859267551	121	-3.66691649911208
148	1	1.04161055449205	62	-7.19228626334125
151	100	1.10310342530624	109	-4.40733886919401
153	100	1.03193762658806	53	-7.4318441548384
154	1000	1.05941713099035	71	-6.42264502052691
156	1000	1.04808348617202	62	-6.8655070514207
158	1	1.17239454799696	147	-1.11108392317269
161	100	1.06669776141368	70	-6.30896939862254
162	10	1.14347019935021	126	-3.08830050690564
164	1	1.01229562600655	27	-7.91908221136815
165	1	1.00735781358489	19	-7.98562706371459
172	100	1.02339056153133	30	-7.78180539171363
174	10	1.02759963044797	30	-7.73522344141546
175	100	1.20740705818176	144	-0.856123377019788
